tstamp,windspeed-2,windspeed-1,windspeed-0,temperature-2,temperature-1,temperature-0,solarflux,humidity-2,humidity-1,humidity-0,clearingprice
965176200,5.67623,5.57137,5.81603,56.0545,57.0164,57.922,19.9081,0.80125,0.77469,0.75,0.12
965177100,5.57137,5.81603,7.6685,57.0164,57.922,58.7882,25.0992,0.77469,0.75,0.72625,0.12
965178000,5.81603,7.6685,9.03163,57.922,58.7882,59.587,29.6861,0.75,0.72625,0.705,0.12
965178900,7.6685,9.03163,9.90543,58.7882,59.587,60.3182,33.669,0.72625,0.705,0.68625,0.12
965179800,9.03163,9.90543,10.2899,59.587,60.3182,60.982,37.0478,0.705,0.68625,0.67,0.12
965180700,9.90543,10.2899,8.92677,60.3182,60.982,61.5614,40.4261,0.68625,0.67,0.65625,0.12
965181600,10.2899,8.92677,7.91316,60.982,61.5614,62.0845,42.7979,0.67,0.65625,0.645,0.12
965182500,8.92677,7.91316,7.24907,61.5614,62.0845,62.5514,44.1632,0.65625,0.645,0.63625,0.12
965183400,7.91316,7.24907,6.9345,62.0845,62.5514,62.962,44.522,0.645,0.63625,0.63,0.12
965184300,7.24907,6.9345,7.26305,62.5514,62.962,63.0632,41.8795,0.63625,0.63,0.63938,0.12
965185200,6.9345,7.26305,7.74539,62.962,63.0632,63.277,39.5604,0.63,0.63938,0.6425,0.12
965186100,7.26305,7.74539,8.38152,63.0632,63.277,63.6032,37.5648,0.63938,0.6425,0.63938,0.12
965187000,7.74539,8.38152,9.17144,63.277,63.6032,64.042,35.8926,0.6425,0.63938,0.63,0.12
965187900,8.38152,9.17144,10.7862,63.6032,64.042,64.9307,33.8214,0.63938,0.63,0.59563,0.12
965188800,9.17144,10.7862,12.1074,64.042,64.9307,65.707,32.5553,0.63,0.59563,0.5675,0.12
965189700,10.7862,12.1074,13.135,64.9307,65.707,66.3707,32.0944,0.59563,0.5675,0.54563,0.1378
965190600,12.1074,13.135,13.869,65.707,66.3707,66.922,32.4386,0.5675,0.54563,0.53,0.14
965191500,13.135,13.869,13.7641,66.3707,66.922,67.1076,34.3002,0.54563,0.53,0.53375,0.14
965192400,13.869,13.7641,13.7292,66.922,67.1076,67.3495,36.4921,0.53,0.53375,0.535,0.14
965193300,13.7641,13.7292,13.7641,67.1076,67.3495,67.6476,39.0144,0.53375,0.535,0.53375,0.1357
965194200,13.7292,13.7641,13.869,67.3495,67.6476,68.002,41.867,0.535,0.53375,0.53,0.12
965195100,13.7641,13.869,14.1486,67.6476,68.002,68.767,47.9734,0.53375,0.53,0.5125,0.12
965196000,13.869,14.1486,14.4282,68.002,68.767,69.352,52.4612,0.53,0.5125,0.5,0.12
965196900,14.1486,14.4282,14.7079,68.767,69.352,69.757,55.3305,0.5125,0.5,0.4925,0.12
965197800,14.4282,14.7079,14.9875,69.352,69.757,69.982,56.5812,0.5,0.4925,0.49,0.12
965198700,14.7079,14.9875,15.6865,69.757,69.982,69.6726,54.3008,0.4925,0.49,0.50375,0.12
965199600,14.9875,15.6865,16.1059,69.982,69.6726,69.4195,51.6769,0.49,0.50375,0.515,0.12
965200500,15.6865,16.1059,16.2457,69.6726,69.4195,69.2226,48.7094,0.50375,0.515,0.52375,0.12
965201400,16.1059,16.2457,16.1059,69.4195,69.2226,69.082,45.3983,0.515,0.52375,0.53,0.12
965202300,16.2457,16.1059,14.8477,69.2226,69.082,69.1832,40.0476,0.52375,0.53,0.52625,0.1336
965203200,16.1059,14.8477,13.869,69.082,69.1832,69.217,35.4841,0.53,0.52625,0.525,0.14
965204100,14.8477,13.869,13.17,69.1832,69.217,69.1832,31.7078,0.52625,0.525,0.52625,0.14
965205000,13.869,13.17,12.7505,69.217,69.1832,69.082,28.7187,0.525,0.52625,0.53,0.14
965205900,13.17,12.7505,13.2399,69.1832,69.082,68.812,27.8748,0.52625,0.53,0.54188,0.14
965206800,12.7505,13.2399,13.5894,69.082,68.812,68.542,26.9128,0.53,0.54188,0.5525,0.14
965207700,13.2399,13.5894,13.7991,68.812,68.542,68.272,25.8328,0.54188,0.5525,0.56188,0.14
965208600,13.5894,13.7991,13.869,68.542,68.272,68.002,24.6346,0.5525,0.56188,0.57,0.14
965209500,13.7991,13.869,13.8201,68.272,68.002,67.7151,23.7534,0.56188,0.57,0.57313,0.14
965210400,13.869,13.8201,13.6173,68.002,67.7151,67.4395,22.464,0.57,0.57313,0.5775,0.14
965211300,13.8201,13.6173,13.2608,67.7151,67.4395,67.1751,20.7665,0.57313,0.5775,0.58313,0.14
965212200,13.6173,13.2608,12.7505,67.4395,67.1751,66.922,18.6608,0.5775,0.58313,0.59,0.14
965213100,13.2608,12.7505,11.1847,67.1751,66.922,66.7982,14.7209,0.58313,0.59,0.59719,0.14
965214000,12.7505,11.1847,10.0662,66.922,66.7982,66.607,11.3236,0.59,0.59719,0.60625,0.14
965214900,11.1847,10.0662,9.39513,66.7982,66.607,66.3482,8.46873,0.59719,0.60625,0.61719,0.14
965215800,10.0662,9.39513,9.17144,66.607,66.3482,66.022,6.15635,0.60625,0.61719,0.63,0.14
965216700,9.39513,9.17144,10.2969,66.3482,66.022,65.4426,4.99927,0.61719,0.63,0.65125,0.14
965217600,9.17144,10.2969,11.2686,66.022,65.4426,64.9195,3.97614,0.63,0.65125,0.67,0.14
965218500,10.2969,11.2686,12.0864,65.4426,64.9195,64.4526,3.08696,0.65125,0.67,0.68625,0.14
965219400,11.2686,12.0864,12.7505,64.9195,64.4526,64.042,2.33173,0.67,0.68625,0.7,0.14
965220300,12.0864,12.7505,13.6803,64.4526,64.042,63.7551,1.81472,0.68625,0.7,0.70563,0.14
965221200,12.7505,13.6803,14.1766,64.042,63.7551,63.4795,1.36214,0.7,0.70563,0.7125,0.14
965222100,13.6803,14.1766,14.2395,63.7551,63.4795,63.2151,0.97401,0.70563,0.7125,0.72063,0.14
965223000,14.1766,14.2395,13.869,63.4795,63.2151,62.962,0.65032,0.7125,0.72063,0.73,0.14
965223900,14.2395,13.869,11.66,63.2151,62.962,62.7539,0.42677,0.72063,0.73,0.74438,0.14
965224800,13.869,11.66,9.95437,62.962,62.7539,62.5345,0.24387,0.73,0.74438,0.7575,0.14
965225700,11.66,9.95437,8.75201,62.7539,62.5345,62.3039,0.10161,0.74438,0.7575,0.76938,0.14
965226600,9.95437,8.75201,8.05297,62.5345,62.3039,62.062,0,0.7575,0.76938,0.78,0.14
965227500,8.75201,8.05297,9.24134,62.3039,62.062,61.6907,0,0.76938,0.78,0.79031,0.14
965228400,8.05297,9.24134,10.0103,62.062,61.6907,61.387,0,0.78,0.79031,0.79875,0.14
965229300,9.24134,10.0103,10.3598,61.6907,61.387,61.1507,0,0.79031,0.79875,0.80531,0.14
965230200,10.0103,10.3598,10.2899,61.387,61.1507,60.982,0,0.79875,0.80531,0.81,0.14
965231100,10.3598,10.2899,8.64716,61.1507,60.982,60.982,0,0.80531,0.81,0.81,0.14
965232000,10.2899,8.64716,7.35393,60.982,60.982,60.982,0,0.81,0.81,0.81,0.14
965232900,8.64716,7.35393,6.41022,60.982,60.982,60.982,0,0.81,0.81,0.81,0.14
965233800,7.35393,6.41022,5.81603,60.982,60.982,60.982,0,0.81,0.81,0.81,0.14
965234700,6.41022,5.81603,6.20051,60.982,60.982,61.0664,0,0.81,0.81,0.80719,0.1555
965235600,5.81603,6.20051,6.51508,60.982,61.0664,61.0945,0,0.81,0.80719,0.80625,0.1514
965236500,6.20051,6.51508,6.75974,61.0664,61.0945,61.0664,0,0.80719,0.80625,0.80719,0.14
965237400,6.51508,6.75974,6.9345,61.0945,61.0664,60.982,0,0.80625,0.80719,0.81,0.14
965238300,6.75974,6.9345,6.9345,61.0664,60.982,60.6726,0,0.80719,0.81,0.82313,0.14
965239200,6.9345,6.9345,6.9345,60.982,60.6726,60.4195,0,0.81,0.82313,0.8325,0.14
965240100,6.9345,6.9345,6.9345,60.6726,60.4195,60.2226,0,0.82313,0.8325,0.83813,0.14
965241000,6.9345,6.9345,6.9345,60.4195,60.2226,60.082,0,0.8325,0.83813,0.84,0.14
965241900,6.9345,6.9345,7.14422,60.2226,60.082,60.1832,0,0.83813,0.84,0.82688,0.14
965242800,6.9345,7.14422,7.21412,60.082,60.1832,60.217,0,0.84,0.82688,0.8175,0.14
965243700,7.14422,7.21412,7.14422,60.1832,60.217,60.1832,0,0.82688,0.8175,0.81188,0.14
965244600,7.21412,7.14422,6.9345,60.217,60.1832,60.082,0,0.8175,0.81188,0.81,0.14
965245500,7.14422,6.9345,6.16556,60.1832,60.082,59.7107,0,0.81188,0.81,0.82031,0.14
965246400,6.9345,6.16556,5.53642,60.082,59.7107,59.407,0,0.81,0.82031,0.82875,0.14
965247300,6.16556,5.53642,5.04709,59.7107,59.407,59.1707,0,0.82031,0.82875,0.83531,0.16
965248200,5.53642,5.04709,4.69757,59.407,59.1707,59.002,0,0.82875,0.83531,0.84,0.16
965249100,5.04709,4.69757,4.69757,59.1707,59.002,59.1032,0,0.83531,0.84,0.83438,0.3
965250000,4.69757,4.69757,4.69757,59.002,59.1032,59.137,0,0.84,0.83438,0.8325,0.3
965250900,4.69757,4.69757,4.69757,59.1032,59.137,59.1032,0,0.83438,0.8325,0.83438,0.3
965251800,4.69757,4.69757,4.69757,59.137,59.1032,59.002,0,0.8325,0.83438,0.84,0.3
965252700,4.69757,4.69757,4.48785,59.1032,59.002,58.5295,0,0.83438,0.84,0.86063,0.3
965253600,4.69757,4.48785,4.41795,59.002,58.5295,58.192,0,0.84,0.86063,0.8775,0.3
965254500,4.48785,4.41795,4.48785,58.5295,58.192,57.9895,0.05124,0.86063,0.8775,0.89063,0.3
965255400,4.41795,4.48785,4.69757,58.192,57.9895,57.922,0.28092,0.8775,0.89063,0.9,0.3
965256300,4.48785,4.69757,5.67623,57.9895,57.922,58.192,0.55854,0.89063,0.9,0.90281,0.3
965257200,4.69757,5.67623,6.37527,57.922,58.192,58.462,0.98136,0.9,0.90281,0.90375,0.16
965258100,5.67623,6.37527,6.79469,58.192,58.462,58.732,1.54937,0.90281,0.90375,0.90281,0.14
965259000,6.37527,6.79469,6.9345,58.462,58.732,59.002,2.26258,0.90375,0.90281,0.9,0.14
965259900,6.79469,6.9345,5.95584,58.732,59.002,59.2889,3.35194,0.90281,0.9,0.8925,0.14
965260800,6.9345,5.95584,5.2568,59.002,59.2889,59.5645,4.43253,0.9,0.8925,0.885,0.14
965261700,5.95584,5.2568,4.83737,59.2889,59.5645,59.8289,5.50433,0.8925,0.885,0.8775,0.16
965262600,5.2568,4.83737,4.69757,59.5645,59.8289,60.082,6.56735,0.885,0.8775,0.87,0.16
965263500,4.83737,4.69757,6.11662,59.8289,60.082,60.2057,7.27226,0.8775,0.87,0.86531,0.16
965264400,4.69757,6.11662,6.96246,60.082,60.2057,60.397,8.20128,0.87,0.86531,0.85875,0.14
965265300,6.11662,6.96246,7.23509,60.2057,60.397,60.6557,9.3544,0.86531,0.85875,0.85031,0.14
965266200,6.96246,7.23509,6.9345,60.397,60.6557,60.982,10.7316,0.85875,0.85031,0.84,0.14
965267100,7.23509,6.9345,4.00551,60.6557,60.982,61.477,12.4122,0.85031,0.84,0.82688,0.14
965268000,6.9345,4.00551,1.87343,60.982,61.477,61.972,14.2641,0.84,0.82688,0.8125,0.3
965268900,4.00551,1.87343,0.53826,61.477,61.972,62.467,16.2872,0.82688,0.8125,0.79688,0.3
965269800,1.87343,0.53826,0,61.972,62.467,62.962,18.4817,0.8125,0.79688,0.78,0.3
965270700,0.53826,0,1.89441,62.467,62.962,63.2545,19.0698,0.79688,0.78,0.76281,0.3
965271600,0,1.89441,3.49521,62.962,63.2545,63.682,21.0143,0.78,0.76281,0.74375,0.3
965272500,1.89441,3.49521,4.80242,63.2545,63.682,64.2445,24.3152,0.76281,0.74375,0.72281,0.3
965273400,3.49521,4.80242,5.81603,63.682,64.2445,64.942,28.9724,0.74375,0.72281,0.7,0.14
965274300,4.80242,5.81603,6.20051,64.2445,64.942,66.4664,41.3901,0.72281,0.7,0.66031,0.14
965275200,5.81603,6.20051,6.51508,64.942,66.4664,67.6645,50.8947,0.7,0.66031,0.62875,0.12
965276100,6.20051,6.51508,6.75974,66.4664,67.6645,68.5364,57.4861,0.66031,0.62875,0.60531,0.12
965277000,6.51508,6.75974,6.9345,67.6645,68.5364,69.082,61.1645,0.62875,0.60531,0.59,0.12
965277900,6.75974,6.9345,7.03936,68.5364,69.082,68.5251,56.1235,0.60531,0.59,0.59875,0.12
965278800,6.9345,7.03936,7.07431,69.082,68.5251,68.1595,52.0402,0.59,0.59875,0.605,0.12
965279700,7.03936,7.07431,7.03936,68.5251,68.1595,67.9851,48.9145,0.59875,0.605,0.60875,0.12
965280600,7.07431,7.03936,6.9345,68.1595,67.9851,68.002,46.7465,0.605,0.60875,0.61,0.12
965281500,7.03936,6.9345,6.55003,67.9851,68.002,68.5814,46.9478,0.60875,0.61,0.60875,0.12
965282400,6.9345,6.55003,6.23546,68.002,68.5814,69.1045,47.1656,0.61,0.60875,0.605,0.12
965283300,6.55003,6.23546,5.9908,68.5814,69.1045,69.5714,47.3998,0.60875,0.605,0.59875,0.12
